Year,Series,Company,No.,Faction,Name,Secondary Name,Alternate Mode,Size Class,Notes,Distribution,Original Price
1984,The Transformers,Hasbro,-,Decepticon,Laserbeak,Condor,Microcassette,Cassette,Microcassette 2-Pack. Laserbeak transforms into a red Condor,Mainline,$5.99
1984,The Transformers,Hasbro,-,Decepticon,Rumble,Rumble,Microcassette,Cassette,"Microcassette 2-Pack. Unlike the cartoon, the red cassette is Rumble. In the Japanese dub this mistake was corrected and the red cassette was renamed Rumble.",Mainline,$5.99
1984,The Transformers,Hasbro,-,Decepticon,Ravage,Jaguar,Microcassette,Cassette,Microcassette 2-Pack. Ravage transforms into a black jaguar.,Mainline,$5.99
1984,The Transformers,Hasbro,-,Decepticon,Frenzy,Frenzy,Microcassette,Cassette,"Microcassette 2-Pack. Unlike the cartoon, the blue cassette is Frenzy. In the Japanese dub this mistake as corrected and the blue cassette was renamed Frenzy. ",Mainline,$5.99
1984,The Transformers,Hasbro,-,Decepticon,Skywarp,Skywarp,McDonnell Douglas F-15 Jet,Decepticon Jet,The black and purple colours are new to the Transformers series and did not appear in the earlier Diaclone line. The tech spec number values were mixed up with Starscream on the box hence why Skywarps rank is 9,Mainline,$12.95
1984,The Transformers,Hasbro,-,Decepticon,Starscream,Starscream,McDonnell Douglas F-15 Jet,Decepticon Jet,"Red & grey jet. The tech spec number values were mixed up with Skywarp on the box, hence Starscreams rank of 5.",Mainline,$12.95
1984,The Transformers,Hasbro,-,Decepticon,Thundercracker,Thundecracker,McDonnell Douglas F-15 Jet,Decepticon Jet,Blue jet,Mainline,$12.95
1985,The Transformers,Hasbro,-,Autobot,Omega Supreme,Omega Supreme,Defence Base & Tank,Defence,Defence Base & Tank. This is an electronic figure - robot could walk and tank could go round the track. The robot mode head module also flashes a red light. Redeco of Mechabot-1 from Toybox. Omega Sureme was unreleased in the UK due to the licensing of the mould to Grandstand for their Convertors range of toys. Unreleased in Japan,Mainline,$39.95
1985,The Transformers,Hasbro,-,Autobot,Perceptor,Perceptor,Microscope,Scientist,Transforms into a working microscope and a tank.,Mainline,$14.99
1985,The Transformers,Hasbro,-,Autobot,Jetfire,Skyfire,VF-1S Super Valkyrie,Guardian,"Macross Valkryie. Early releases had the Macross emblem on the wing. Hasbro acquired the rights from Takatoku Toys, designed by Shoji Kawamori. The designs were bought by Bandai forcing Hasbro to dramatically alter Jetfires cartoon model and rename the characer as Skyfire. Jetfire is a redeco of the 1983 1/55 VF-1S Super Valkyrie. Jetfire comes with armour which can attach to the jet mode and robot mode. Also features a GERWALK mode (Ground Effective Reinforcement of Winged Armament with Locomotive Knee-joint). Unreleased in Japan",Mainline,$27.95
